ztfname,ra,dec
ZTF22aaypvib,16.4290018,29.7887699
ZTF20abbarut,16.4441506,34.9902717
ZTF19abdkdir,16.4783635,0.3451968
ZTF19ablovot,16.5324745,-6.1458196
ZTF20abyvtds,16.5382491,-3.8440492
ZTF21abmdxes,16.5420281,1.2327166
ZTF22abtextj,16.5443122,1.3619517
ZTF21abjvwcd,16.5612254,40.8228398
ZTF20acgnbvv,16.5955922,-20.6132319
ZTF21acqpwln,16.6058095,14.5740061
ZTF20abucvpo,16.6212442,18.3315724
ZTF19aadpdqm,16.6480985,1.2643444
ZTF20abzpxxu,16.6624952,43.2747947
ZTF19abcttsc,16.6758456,49.2344836
ZTF19acukcte,16.7092001,-5.3998914
ZTF19abrcpnj,16.8081908,5.9068917
ZTF19acvieqw,16.83898,9.760108
ZTF22abvdwik,16.9343988,32.4447053
ZTF22aaoolfh,16.9383481,14.4222674
ZTF21aaglamm,16.9532475,16.4686649
ZTF18abupgps,16.9657425,-15.6805839
ZTF22abntdem,17.0026057,40.2334221
ZTF20acynlkj,17.0041936,-15.4054367
ZTF21acgyzel,17.0508624,-19.7900223
ZTF20ableiem,17.0983325,33.1336873
ZTF18accrorf,17.1629052,20.0798997
ZTF18acctdhp,17.1721337,35.7724961
ZTF20aaflngq,17.1948438,-13.5644911
ZTF19acykqyr,17.2169203,19.324399
ZTF20abvyauy,17.2801217,-15.9970778
ZTF22abfyjgo,17.3177727,25.635599
ZTF20aahidph,17.3198678,2.2008891
ZTF18abvrzqj,17.3302758,-15.594787
ZTF20aaeopvv,17.3442577,21.7241015
ZTF20adadffg,17.3945595,42.7614856
ZTF22abyhxlj,17.5079344,-14.6123687
ZTF21achcwnd,17.5574092,2.3024209
ZTF20abwrcmq,17.6450926,2.1139145
ZTF18achjnlr,17.6841126,-0.9168275
ZTF21abrfcun,17.7267619,-18.9640644
ZTF19abxiqve,17.7349433,71.4338529
ZTF20abpyplw,17.8085805,-2.0915339
ZTF18abquyqj,17.8471962,13.1601932
ZTF20abmspyz,17.8657528,-17.3683371
ZTF21acjrfhr,17.9639107,-19.4811283
ZTF21abrpoaq,18.0802908,-9.6758697
ZTF22abegjkl,18.1728788,22.5291229
ZTF19abgawrv,18.2258456,4.3710592
ZTF20acynllu,18.2735141,-18.1176659
ZTF20aciievv,18.2836383,28.676971
ZTF20abmudrv,18.3000907,2.2838844
ZTF18acsxusq,18.3612871,14.4814843
ZTF19acbzdvp,18.4103681,40.8527471
ZTF19abmprjj,18.4395478,-21.7246722
ZTF20abmsxxr,18.4649752,-6.3587129
ZTF20acynaba,18.4852151,19.5249229
ZTF20acgpqqr,18.5113978,14.3811842
ZTF20abptxls,18.5178974,-1.7409942
ZTF20acoyvdg,18.5196346,30.2550262
ZTF21aabpszb,18.5200644,-1.740113
ZTF21abwcned,18.5342332,11.4918828
ZTF21acknxoo,18.5925874,-26.7284393
ZTF19abegxob,18.6016871,-7.4753387
ZTF22abfyqzz,18.6106668,-12.3946186
ZTF19acazbqm,18.6218263,37.0493239
ZTF21abtaxou,18.7114142,75.7399489
ZTF21abrofrx,18.7237429,43.1031221
ZTF22abfskre,18.7628927,14.085601
ZTF18adaadmh,18.7832402,1.5014929
ZTF20aamujvi,18.7855379,1.501575
ZTF22abyrlaw,18.8083359,6.8214456
ZTF18abtfvsk,18.8254472,-6.8590619
ZTF19acewotx,18.8337389,25.037022
ZTF22aaagszq,18.8360142,30.2400114
ZTF21absvmds,18.8771204,-14.0732049
ZTF21abukrln,18.9472822,1.5058321
ZTF21abwurky,18.9610649,-15.905213
ZTF20acpknjk,18.9725466,0.0160374
ZTF20acovrzx,19.0088462,-10.8645141
ZTF18abupgql,19.015312,-0.1174076
ZTF19abkdrir,19.0908007,-17.7544228
ZTF22abppdqh,19.1980376,16.1437215
ZTF20abmsqaa,19.2261565,-15.5197428
ZTF18aczpgmi,19.3858761,-14.9311657
ZTF20abxpzxg,19.4059086,16.8807007
ZTF19abpzpqd,19.4591639,57.8603353
ZTF20abwynwj,19.4598577,21.2631069
ZTF21abmdhes,19.5024428,-1.5793686
ZTF21aafpiho,19.5191123,14.5536633
ZTF21acimjvp,19.5245786,7.3253065
ZTF20aabrydh,19.6375635,-27.6034222
ZTF19acvijnj,19.639078,-0.2282471
ZTF19abdkecj,19.6864045,9.2059009
ZTF22abmxtqr,19.7358896,-12.9624332
ZTF22abfytal,19.7633339,8.9453165
ZTF22aaagycn,19.8719983,43.4875704
ZTF18aboebsg,19.8845544,-18.1734199
ZTF20abxyaqc,19.904305,-23.8627458
ZTF19abfibel,19.9906828,2.2444808
ZTF22abkisoc,19.9980794,15.6027419
ZTF19abvhkst,20.0290661,35.9015229
ZTF22abvpklt,20.0295074,42.7168613
ZTF20acbttnt,20.057171,-0.0447017
ZTF21acispjz,20.0668251,29.4456359
ZTF22abylpnv,20.1093956,-6.2308622
ZTF19acbtcyx,20.13987595,3.68943955
ZTF21abxaazp,20.1501258,3.4404545
ZTF19acblnop,20.2000255,-3.6579926
ZTF20acyhena,20.2178253,4.7956185
ZTF20abzcfqn,20.2365139,19.6542858
ZTF20aagzdjp,20.30199,23.4237656
ZTF20aciaxil,20.3234651,28.4321341
ZTF18abvkhul,20.3409341,30.7185805
ZTF19abnishu,20.4050316,-1.1466543
ZTF20aacevxq,20.489507,50.0466521
ZTF19abyhxzp,20.4964918,7.4527056
ZTF19acthgxq,20.5177317,-9.0597428
ZTF21acisqde,20.5278614,34.0966527
ZTF22abqxkhd,20.5508461,0.956554
ZTF18abtgnky,20.5813995,-2.4966671
ZTF22abeltic,20.6558407,35.8649729
ZTF19abdketn,20.67133145,11.3888349
ZTF20abygigy,20.6945641,10.0313694
ZTF18abqyaix,20.7992511,1.0032765
ZTF20acijssu,20.8147816,-10.0988766
ZTF18acrcizr,20.8290467,22.1974883
ZTF22abmxivl,20.8393999,1.6554837
Gaia22abj,20.860333333333333,49.97058055555556
ZTF22abkxbeo,20.8728946,1.2179834
ZTF21abrfctp,20.8833385,-19.1710499
ZTF19achejoc,20.9130183,7.1192087
ZTF18acsyanq,20.9622146,10.8589952
ZTF20abvxsgk,20.98023195,-4.9152175
ZTF19abjozed,20.9883239,1.0363498
ZTF22aavbezc,21.0012629,21.7293123
ZTF20achlced,21.0286921,12.9214043
ZTF19abuxhqc,21.0413745,6.9714917
ZTF20acpkpla,21.0708117,-19.431869
ZTF23aamgeom,21.1159442,33.8004252
ZTF20abxezim,21.1451833,-0.4225559
ZTF20acdutnz,21.2085537,-6.7974534
ZTF21acptaer,21.2276804,9.2088527
ZTF19abdkdoz,21.2697234,-2.5030758
ZTF21acjgafq,21.3857088,8.6186971
ZTF22aapuake,21.4223156,1.7614797
ZTF20abmddts,21.4341433,2.43623235
ZTF23aaazssj,21.5539255,8.6011638
ZTF23aaalvut,21.6855461,-3.5038614
ZTF18achptkn,21.8949751,-12.4451881
ZTF20abpvolc,21.9152995,17.6575509
ZTF18abtqrwa,21.945247,-17.7057051
ZTF22aatghyo,22.0581721,44.929276
ZTF21acctrsp,22.0653888,-14.0515379
ZTF21abmdgyx,22.2398972,-0.9213698
ZTF19acbtkmt,22.305457,29.67713
ATLAS21bneb,22.491958333333333,19.43908888888889
ATLAS21bnlj,22.5680375,20.60040555555556
ZTF19aayvylv,22.5818633,31.8050801
ZTF20acyzsol,22.6055727,-16.7568054
ZTF23aaafclb,22.6900792,20.1078191
ZTF20ackdkva,22.7017424,34.8020251
ZTF18abvlchy,22.7798871,-14.7161496
ZTF20acumcrz,22.9119216,18.2449711
ZTF21abwukki,22.9247144,31.7772954
ZTF21abtxnir,22.957861,18.5991993
ZTF18acbygcu,22.9754556,-13.4218341
ZTF18abugthp,23.0443749,-13.9903578
